Date,Discharge
2020-04-15,141
2020-04-16,142
2020-04-17,142
2020-04-18,143
2020-04-19,144
2020-04-20,144
2020-04-21,144
2020-04-22,143
2020-04-23,143
2020-04-24,142
2020-04-25,142
2020-04-26,142
2020-04-27,142
2020-04-28,142
2020-04-29,143
2020-04-30,144
2020-05-01,145
2020-05-02,145
2020-05-03,145
2020-05-04,144
2020-05-05,143
2020-05-06,144
2020-05-07,144
2020-05-08,144
2020-05-09,144
2020-05-10,143
2020-05-11,143
2020-05-12,150
2020-05-13,151
2020-05-14,156
2020-05-15,160
2020-05-16,168
2020-05-17,170
2020-05-18,171
2020-05-19,172
2020-05-20,174
2020-05-21,175
2020-05-22,176
2020-05-23,177
2020-05-24,186
2020-05-25,187
2020-05-26,191
2020-05-27,198
2020-05-28,199
2020-05-29,200
2020-05-30,200
2020-05-31,199
2020-06-01,199
2020-06-02,198
2020-06-03,199
2020-06-04,200
2020-06-05,201
2020-06-06,199
2020-06-07,197
2020-06-08,195
2020-06-09,194
2020-06-10,193
2020-06-11,193
2020-06-12,193
2020-06-13,192
2020-06-14,191
2020-06-15,189
2020-06-16,189
2020-06-17,189
2020-06-18,189
2020-06-19,188
2020-06-20,188
2020-06-21,188
2020-06-22,188
2020-06-23,187
2020-06-24,187
2020-06-25,187
2020-06-26,187
2020-06-27,186
2020-06-28,185
2020-06-29,183
2020-06-30,182
2020-07-01,182
2020-07-02,181
2020-07-03,182
2020-07-04,182
2020-07-05,181
2020-07-06,180
2020-07-07,178
2020-07-08,177
2020-07-09,176
2020-07-10,175
2020-07-11,174
2020-07-12,172
2020-07-13,171
2020-07-14,171
2020-07-15,170
2020-07-16,170
2020-07-17,168
2020-07-18,167
2020-07-19,166
2020-07-20,165
2020-07-21,162
2020-07-22,162
2020-07-23,161
2020-07-24,161
2020-07-25,160
2020-07-26,158
2020-07-27,156
2020-07-28,154
2020-07-29,154
2020-07-30,155
2020-07-31,154
2020-08-01,152
2020-08-02,150
2020-08-03,148
2020-08-04,146
2020-08-05,144
2020-08-06,145
2020-08-07,146
2020-08-08,146
2020-08-09,146
2020-08-10,144
2020-08-11,143
2020-08-12,141
2020-08-13,140
2020-08-14,140
2020-08-15,139
2020-08-16,139
2020-08-17,138
2020-08-18,136
2020-08-19,135
2020-08-20,134
2020-08-21,134
2020-08-22,135
2020-08-23,136
2020-08-24,135
2020-08-25,135
2020-08-26,134
2020-08-27,134
2020-08-28,132
2020-08-29,132
2020-08-30,131
2020-08-31,131
2020-09-01,131
2020-09-02,131
2020-09-03,134
2020-09-04,134
2020-09-05,133
2020-09-06,132
2020-09-07,131
2020-09-08,133
2020-09-09,135
2020-09-10,137
2020-09-11,137
2020-09-12,136
2020-09-13,136
2020-09-14,136
2020-09-15,137
2020-09-16,137
2020-09-17,138
2020-09-18,138
2020-09-19,138
2020-09-20,138
2020-09-21,138
2020-09-22,138
2020-09-23,137
2020-09-24,137
2020-09-25,139
2020-09-26,138
2020-09-27,137
2020-09-28,136
2020-09-29,136
2020-09-30,137
2020-10-01,137
2020-10-02,137
2020-10-03,138
2020-10-04,138
2020-10-05,137
2020-10-06,137
2020-10-07,137
2020-10-08,137
2020-10-09,139
2020-10-10,138
2020-10-11,138
2020-10-12,137
2020-10-13,136
2020-10-14,136
2020-10-15,140
2020-10-16,141
2020-10-17,144
2020-10-18,145
2020-10-19,147
2020-10-20,147
2020-10-21,152
2020-10-22,152
2020-10-23,152
2020-10-24,154
2020-10-25,157
2020-10-26,159
2020-10-27,159
2020-10-28,162
2020-10-29,163
2020-10-30,165
2020-10-31,162
2020-11-01,158
2020-11-02,155
2020-11-03,152
2020-11-04,149
2020-11-05,146
2020-11-06,143
2020-11-07,140
2020-11-08,137
2020-11-09,134
2020-11-10,131
2020-11-11,129
2020-11-12,125
2020-11-13,124
2020-11-14,124
2020-11-15,124
2020-11-16,124
2020-11-17,124
2020-11-18,124
2020-11-19,125
2020-11-20,127
2020-11-21,127
2020-11-22,126
2020-11-23,126
2020-11-24,123
2020-11-25,123
2020-11-26,123
2020-11-27,123
2020-11-28,122
2020-11-29,122
2020-11-30,122
2020-12-01,122
2020-12-02,123
2020-12-03,123
2020-12-04,122
2020-12-05,122
2020-12-06,122
2020-12-07,121
2020-12-08,120
2020-12-09,121
2020-12-10,122
2020-12-11,122
2020-12-12,121
2020-12-13,121
2020-12-14,120
2020-12-15,120
2020-12-16,119
2020-12-17,120
2020-12-18,121
2020-12-19,122
2020-12-20,122
2020-12-21,122
2020-12-22,124
2020-12-23,123
2020-12-24,122
2020-12-25,122
2020-12-26,122
2020-12-27,122
2020-12-28,121
2020-12-29,121
2020-12-30,121
2020-12-31,119
2021-01-01,117
2021-01-02,117
2021-01-03,116
2021-01-04,116
2021-01-05,117
2021-01-06,118
2021-01-07,119
2021-01-08,120
2021-01-09,118
2021-01-10,120
2021-01-11,120
2021-01-12,120
2021-01-13,120
2021-01-14,120
2021-01-15,119
2021-01-16,119
2021-01-17,118
2021-01-18,118
2021-01-19,118
