Site,Date,Waterlevel
J17WL,2019-05-15,684.61
J17WL,2019-05-16,684.42
J17WL,2019-05-17,684.39
J17WL,2019-05-18,684.18
J17WL,2019-05-19,684.24
J17WL,2019-05-20,684.28
J17WL,2019-05-21,684
J17WL,2019-05-22,683.63
J17WL,2019-05-23,683.26
J17WL,2019-05-24,682.6
J17WL,2019-05-25,681.89
J17WL,2019-05-26,681.64
J17WL,2019-05-27,681.53
J17WL,2019-05-28,681.38
J17WL,2019-05-29,680.74
J17WL,2019-05-30,680.43
J17WL,2019-05-31,680
J17WL,2019-06-01,679.9
J17WL,2019-06-02,679.92
J17WL,2019-06-03,679.98
J17WL,2019-06-04,679.77
J17WL,2019-06-05,679.39
J17WL,2019-06-06,679.95
J17WL,2019-06-07,680.78
J17WL,2019-06-08,681.07
J17WL,2019-06-09,681.43
J17WL,2019-06-10,681.71
J17WL,2019-06-11,681.47
J17WL,2019-06-12,681.65
J17WL,2019-06-13,681.58
J17WL,2019-06-14,681.46
J17WL,2019-06-15,681.22
J17WL,2019-06-16,680.63
J17WL,2019-06-17,680.49
J17WL,2019-06-18,680.54
J17WL,2019-06-19,680.81
J17WL,2019-06-20,681.05
J17WL,2019-06-21,680.81
J17WL,2019-06-22,680.58
J17WL,2019-06-23,680.39
J17WL,2019-06-24,680.7
J17WL,2019-06-25,680.87
J17WL,2019-06-26,681.41
J17WL,2019-06-27,681.66
J17WL,2019-06-28,682.08
J17WL,2019-06-29,682.37
J17WL,2019-06-30,682.51
J17WL,2019-07-01,683.25
J17WL,2019-07-02,683.61
J17WL,2019-07-03,683.83
J17WL,2019-07-04,683.94
J17WL,2019-07-05,684.09
J17WL,2019-07-06,684.03
J17WL,2019-07-07,683.75
J17WL,2019-07-08,683.62
J17WL,2019-07-09,683.17
J17WL,2019-07-10,682.55
J17WL,2019-07-11,681.89
J17WL,2019-07-12,681.16
J17WL,2019-07-13,680.69
J17WL,2019-07-14,680.23
J17WL,2019-07-15,680.09
J17WL,2019-07-16,679.82
J17WL,2019-07-17,679.34
J17WL,2019-07-18,678.82
J17WL,2019-07-19,678.34
J17WL,2019-07-20,677.81
J17WL,2019-07-21,677.38
J17WL,2019-07-22,677.09
J17WL,2019-07-23,676.56
J17WL,2019-07-24,675.88
J17WL,2019-07-25,675.46
J17WL,2019-07-26,674.82
J17WL,2019-07-27,674.56
J17WL,2019-07-28,674.18
J17WL,2019-07-29,674.04
J17WL,2019-07-30,673.7
J17WL,2019-07-31,673.02
J17WL,2019-08-01,672.65
J17WL,2019-08-02,672.24
J17WL,2019-08-03,671.58
J17WL,2019-08-04,671.61
J17WL,2019-08-05,671.57
J17WL,2019-08-06,671.34
J17WL,2019-08-07,670.53
J17WL,2019-08-08,669.93
J17WL,2019-08-09,669.48
J17WL,2019-08-10,668.86
J17WL,2019-08-11,668.77
J17WL,2019-08-12,669.1
J17WL,2019-08-13,668.67
J17WL,2019-08-14,667.8
J17WL,2019-08-15,667.47
J17WL,2019-08-16,667.12
J17WL,2019-08-17,667.2
J17WL,2019-08-18,667.28
J17WL,2019-08-19,667.22
J17WL,2019-08-20,666.89
J17WL,2019-08-21,666.4
J17WL,2019-08-22,666.07
J17WL,2019-08-23,665.76
J17WL,2019-08-24,665.66
J17WL,2019-08-25,665.95
J17WL,2019-08-26,666.68
J17WL,2019-08-27,666.68
J17WL,2019-08-28,666.13
J17WL,2019-08-29,665.79
J17WL,2019-08-30,665.52
J17WL,2019-08-31,665.39
J17WL,2019-09-01,665.57
J17WL,2019-09-02,665.64
J17WL,2019-09-03,665.95
J17WL,2019-09-04,665.3
J17WL,2019-09-05,665.04
J17WL,2019-09-06,664.94
J17WL,2019-09-07,664.8
J17WL,2019-09-08,665.05
J17WL,2019-09-09,665.31
J17WL,2019-09-10,665.42
J17WL,2019-09-11,665.11
J17WL,2019-09-12,665.58
J17WL,2019-09-13,666.38
J17WL,2019-09-14,666.43
J17WL,2019-09-15,666.34
J17WL,2019-09-16,667.01
J17WL,2019-09-17,666.52
J17WL,2019-09-18,665.94
J17WL,2019-09-19,665.86
J17WL,2019-09-20,665.73
J17WL,2019-09-21,666.25
J17WL,2019-09-22,667.56
J17WL,2019-09-23,667.15
J17WL,2019-09-24,666.47
J17WL,2019-09-25,666.46
J17WL,2019-09-26,665.97
J17WL,2019-09-27,666.09
J17WL,2019-09-28,666.36
J17WL,2019-09-29,666.89
J17WL,2019-09-30,666.58
J17WL,2019-10-01,666.25
J17WL,2019-10-02,666.07
J17WL,2019-10-03,665.84
J17WL,2019-10-04,665.94
J17WL,2019-10-05,666.14
J17WL,2019-10-06,666.71
J17WL,2019-10-07,666.02
J17WL,2019-10-08,665.5
J17WL,2019-10-09,665.73
J17WL,2019-10-10,665.78
J17WL,2019-10-11,665.86
J17WL,2019-10-12,666.5
J17WL,2019-10-13,667.14
J17WL,2019-10-14,666.96
J17WL,2019-10-15,666.45
J17WL,2019-10-16,667.38
J17WL,2019-10-17,668.12
J17WL,2019-10-18,668.35
J17WL,2019-10-19,668.95
J17WL,2019-10-20,669.3
J17WL,2019-10-21,669.26
J17WL,2019-10-22,669.19
J17WL,2019-10-23,668.87
J17WL,2019-10-24,668.94
J17WL,2019-10-25,671.86
J17WL,2019-10-26,672.92
J17WL,2019-10-27,673.49
J17WL,2019-10-28,673.59
J17WL,2019-10-29,673.65
J17WL,2019-10-30,673.99
J17WL,2019-10-31,674.07
J17WL,2019-11-01,674.05
J17WL,2019-11-02,674.24
J17WL,2019-11-03,674.47
J17WL,2019-11-04,674.36
J17WL,2019-11-05,673.89
J17WL,2019-11-06,673.54
J17WL,2019-11-07,673.53
J17WL,2019-11-08,673.85
J17WL,2019-11-09,674.35
J17WL,2019-11-10,674.38
J17WL,2019-11-11,674.12
J17WL,2019-11-12,673.96
J17WL,2019-11-13,674
J17WL,2019-11-14,673.86
J17WL,2019-11-15,673.64
J17WL,2019-11-16,673.73
J17WL,2019-11-17,673.75
J17WL,2019-11-18,673.51
J17WL,2019-11-19,673.15
J17WL,2019-11-20,673.04
J17WL,2019-11-21,673.03
J17WL,2019-11-22,672.77
J17WL,2019-11-23,673.02
J17WL,2019-11-24,673.17
J17WL,2019-11-25,673
J17WL,2019-11-26,672.77
J17WL,2019-11-27,672.65
J17WL,2019-11-28,672.65
J17WL,2019-11-29,673.04
J17WL,2019-11-30,673.35
J17WL,2019-12-01,673.28
J17WL,2019-12-02,672.98
J17WL,2019-12-03,672.85
J17WL,2019-12-04,672.76
J17WL,2019-12-05,672.68
J17WL,2019-12-06,672.46
J17WL,2019-12-07,672.36
J17WL,2019-12-08,672.64
J17WL,2019-12-09,672.23
J17WL,2019-12-10,672.24
J17WL,2019-12-11,672.21
J17WL,2019-12-12,672.26
J17WL,2019-12-13,672.33
J17WL,2019-12-14,672.45
J17WL,2019-12-15,672.42
J17WL,2019-12-16,672.14
J17WL,2019-12-17,672
J17WL,2019-12-18,671.66
J17WL,2019-12-19,671.8
J17WL,2019-12-20,671.56
J17WL,2019-12-21,672
J17WL,2019-12-22,672.21
J17WL,2019-12-23,672.1
J17WL,2019-12-24,672.08
J17WL,2019-12-25,672.3
